Key,title,headline_length,article_word_count,author,publisher,publisher_country,publisher_type,published_date,collection_date,link,full_text,source_type,keyword_trigger
2010,"Family of Michigan synagogue suspect killed in Lebanon airstrike, officials say",79,42,Unknown,BBC,UK,Public Broadcaster,2026-03-13,2026-03-14,https://www.bbc.com/news/articles/cdxz0jpzk4do?at_medium=RSS&at_campaign=rss,"""American Judaism is such these days that every synagogue is a target. Every synagogue is aware that we need to take precautions to keep our people safe,"" she told the BBC, adding that the temple had trained in preparation for similar incidents.",RSS,airstrike
2011,Kharg Island: Why has it been targeted by the US?,49,50,Unknown,BBC,UK,Public Broadcaster,2026-03-14,2026-03-14,https://www.bbc.com/news/articles/c8jxzlwvd8ro?at_medium=RSS&at_campaign=rss,"Trump, however, warned that he would reconsider the decision not to target oil facilities on the island should Iran or others ""do anything to interfere"" with the safe passage of ships through the Strait of Hormuz - one of the world's most important shipping channels, located south of Iran's coast.",RSS,iran
2012,"Under drone fire, exiled Kurds wait to confront Iranian regime",62,55,Unknown,BBC,UK,Public Broadcaster,2026-03-13,2026-03-14,https://www.bbc.com/news/articles/c79505804lpo?at_medium=RSS&at_campaign=rss,"""I will go to my mother's grave, then my fathers, and my brothers,"" he says. ""I will go to all the friends and family I will never see again, and lay flowers and tell them: 'I remember you always, and I cry for you.'"" At this, he is silenced by his grief and his memories.",RSS,iran
2013,Mojtaba Khamenei: Iranians react to new Supreme Leader's first address,70,54,Unknown,BBC,UK,Public Broadcaster,2026-03-13,2026-03-14,https://www.bbc.com/news/articles/czj1z0enk70o?at_medium=RSS&at_campaign=rss,"He also said that his government would ""not forgo avenging the blood"" of citizens killed since the war with the US and Israel began, saying retaliation so far represented only ""a limited portion"" of what was to come. He said he had been made aware of his appointment as supreme leader via state TV.",RSS,iran
2014,How the Iran war exposed cracks in Trump's Republican coalition,63,54,Unknown,BBC,UK,Public Broadcaster,2026-03-14,2026-03-14,https://www.bbc.com/news/articles/cev7wn213rvo?at_medium=RSS&at_campaign=rss,"At least 13 Americans have been killed so far, including six in a plane crash in Iraq on Thursday. There have been casualties across Israel and Gulf countries. Hundreds of people have been killed in Lebanon as Israel exchanges fire with Hezbollah, and Iran has reported that more than 1,300 people have been killed.",RSS,iran
2015,Watch: Why Kharg Island is a lifeline for Iran,46,96,Unknown,BBC,UK,Public Broadcaster,2026-03-14,2026-03-14,https://www.bbc.com/news/videos/c4g7ddn9xz0o?at_medium=RSS&at_campaign=rss,"Kharg Island is a small rocky outcrop just 15 miles (24km) off the coast of Iran - but despite its size, it is one of the most critical pieces of Iran's energy infrastructure.

US President Donald Trump recently posted on Truth Social that the US military had conducted what he called one of the most powerful bombing raids in the history of the Middle East, obliterating every military target on the island.

Security analyst Mikey Kay breaks down why Kharg Island is a lifeline for Iran, and why it is so strategically important for the US.",RSS,iran
2016,Justified or not? US military families on fears of Iran war,59,78,Unknown,BBC,UK,Public Broadcaster,2026-03-12,2026-03-14,https://www.bbc.com/news/videos/cqxd7lyngxjo?at_medium=RSS&at_campaign=rss,"Nearly two weeks into the US and Israel's war with Iran, Donald Trump has shown no signs that the 'excursion' is coming to a close.

As President Trump travelled to Kentucky on Wednesday to speak to supporters, the BBC's North America editor Sarah Smith spoke to two military families in the state - Iraq veteran Jeremy and Lynn, whose son died in Iraq - about their fears that the war with Iran could become a similarly extended conflict.",RSS,iran
2017,Videos and satellite images show Iran's drone army puncturing U.S. and allied defenses,86,1212,"Jane Lytvynenko, Frank Matt, Jane Lytvynenko Is Senior Technology Correspondent For Nbc News., Frank Matt Is A Senior Forensics Producer For Nbc News Digital Docs.",NBC News,US,Broadcast Network,2026-03-14,2026-03-14,https://www.nbcnews.com/tech/security/iran-drone-army-us-defense-video-image-shahed-attack-rcna262531,"The buzz came before the explosion. An aerial vehicle dove from the cloudless sky toward its target at Camp Buehring, a U.S. military base in Kuwait. It struck near a running track with a fiery plume of black smoke.

“Oh s---t,” a man recording from the base said. “Oh my God. Oh, that was right here. They’re f---ing getting… They’re starting to dial into our building.”

The video ends as the smoke billows in the desert outpost.

The footage of this attack, posted online on March 1 but possibly filmed earlier, is one of over 30 open-source videos and satellite images verified by NBC News showing Iranian drone strikes and interceptions by the U.S. and its allies across seven countries. Apparent targets include military bases, transportation hubs, energy infrastructure and diplomatic centers. In 21 of 26 videos, drones appear to reach their targets.

The videos, posted on various online platforms, reveal a pattern of inadequate protection for strategic locations targeted by the drones from the outset of the war. As the U.S. and Israel bombard Iran with the stated goal of crippling its nuclear, ballistic and drone capabilities, Iran retaliates by utilizing its arsenal of missiles and cheap exploding drones.

The drones are a novel challenge for the U.S., its allies and the countries caught in the crossfire. Adversaries will be watching America’s response closely.

The weapon’s versatility may allow Iran to prolong the war by straining enemy resources, a tactic attractive for cash-strapped states, experts say. Iran is a pioneer of the technology, which it sold to Russia following its full-scale invasion of Ukraine in 2022. It has challenged the economics of warfare. While the U.S. remains firm in its air dominance, Iran’s drone campaign has forced the targeted countries to use expensive munitions for interceptions.

“It’s kind of like the ultimate symbol of asymmetric warfare,” said Joe Dyke, director of programmes for Airwars, a nonprofit that tracks civilian harm in conflict zones.

While the drones can be shot down with a range of weapons including heavy machine guns, fighter jets and advanced interceptors, they can overwhelm air defenses and even one such aircraft can inflict deadly damage.

A drone strike killed six U.S. servicemembers at the civilian Port of Shuaiba in Kuwait. Video verified by NBC News shows that others have bombarded oil infrastructure and logistics hubs. Some drones have struck U.S. consulates and embassies across the Gulf states as passersby gasped and filmed the nosedives. An oil storage facility in Oman was hit twice: Once last week and again this week, underscoring the ongoing vulnerability of crucial targets.

The U.S. does not release data on the munitions it intercepts or faces. Data from the United Arab Emirates, which has been heavily impacted by Iranian strikes, says that 1,475 unmanned aerial vehicles (UAVs) were fired at the country as of March 10 and 1,385 were intercepted.

The UAE, one of the hardest hit Gulf countries, has reported six killed and 122 wounded resulting from the conflict as of March 11. Israel has reported 13 dead. In Iran, more than 1,200 people have been killed by U.S.-Israeli strikes, according to the Iranian Red Crescent Society.

The drone most frequently deployed by Iran is the Shahed-136, according to the weapons tracking project Open Source Munitions Portal (OSMP). With a wingspan of 11.5 feet, it is capable of flying some 1,200 miles and carrying up to 110-pound warheads guided by a satellite navigation system, OSMP says. The drones are pre-programmed to fly to a specific target and operate with no pilot.

In the opening days of the war, Gen. Dan Caine, the chairman of the Joint Chiefs of Staff, said, “The threat from one-way attack UAVs has remained persistent.”

Since then, the U.S. has published video of drone interceptions and Defense Secretary Pete Hegseth claimed in a briefing Friday that the number of drone attacks has dropped.

“CENTCOM continues to attack ballistic missile and drone capabilities so that they are no longer a threat to us, our forces, our bases or our partners,” said Caine in the same briefing.

The U.S. is one of over 10 countries formally requesting help from Ukraine, according to Ukrainian President Volodymyr Zelenskyy, who said in a post on social media that Ukraine has dispatched three teams to the Middle East.

The Trump administration’s official ask came six days after the beginning of the U.S.-Israeli war on Iran, according to a post from Zelenskyy on social media at the time, despite Ukraine offering it months earlier. Ukraine has nearly four years of experience dealing with the weapon, earned at the expense of infrastructure destroyed and civilian lives lost as it pleaded for air defense.

“Ukraine can contribute to stabilization,” said Zelenskyy on Friday at a news conference in France.

Iran’s Foreign Minister Abbas Araghchi has apologized for some of the attacks. In an interview with Al Jazeera, he implied that some of the strikes were not coming directly from the country’s top command.

“Our military units are now, in fact, independent and somewhat isolated, and they are acting based on general instructions given to them in advance,” he said.

In other interviews, Araghchi said Iran has been preparing for this war and a possible ground invasion by U.S. troops.

The first Shahed sighting was in 2019, according to OSMP. It gained popularity when Russia bought the technology from Iran in November 2022 and has since improved on the Shahed-136 model.

An NBC News analysis of online video of Shahed-type attacks shows that the majority of them have hit along the Persian Gulf coastline. Depending on detection radar placement in the Gulf, the drones may be more difficult to locate as they approach the coastline, said Kelly Grieco, a senior fellow at the Stimson Center, a Washington think tank. It could also hint at Iran’s larger plan.

“This second week now, the target set is very similar, and they’re re-attacking things,” said Grieco. “There’s real coherence to their strategy.”

In one video, a drone follows its pre-programmed path to an oil storage tank in Oman, the second such attack on the facility.

A Dubai beachgoer filmed another video showing a buzzing drone flying inland as a warplane boomed after it, releasing an interception missile moments later.

The drones have reached Azerbaijan, verified videos show, bombarding the airport in Nakhchivan. Azerbaijan is not a party to the conflict and demanded an apology from Iran, which has denied responsibility.

The attacks by primitive drones and more sophisticated ballistic missiles have crippled both air and sea traffic in the crucial oil-rich region. The strategically critical Strait of Hormuz is effectively closed to traffic. Air travel in the Persian Gulf region has been heavily affected, according to data from Flight Radar 24, a global tracking service. Kuwait and Bahrain airports are completely closed to commercial flights while other regions face heavy restrictions.

The size of Iran’s drone arsenal and production capabilities is unclear. Interception numbers released by the UAE suggest attacks have dwindled, but that could be an indication of regrouping and stockpiling before the next attack rather than a diminishing supply, said Grieco of the Stimson Center. Russia, the only other country using these types of weapons regularly, frequently breaks between major bombardments to amass more drones to release in one attack.",RSS,iran
2018,The Iran war's looming economic threat: Higher food prices,58,867,"Https, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms, Allie Canal, Allie Canal Is A Business Reporter For Nbc News.",NBC News,US,Broadcast Network,2026-03-13,2026-03-14,https://www.nbcnews.com/business/consumer/iran-war-fertilizer-prices-food-rcna263336,"The ongoing war in Iran is driving up more than just the cost of oil. With essential crop fertilizers also caught in the crossfire, U.S. food prices could be next.

About one-third of the world’s fertilizer ingredients — key inputs farmers rely on to grow the crops that become everyday food items — transit through the Strait of Hormuz, a critical shipping chokepoint along Iran’s southern coast.

Roughly one-fifth of global oil supplies also move through the narrow waterway. Since the U.S.- Israeli attacks on Iran began Feb. 28, the strait has been effectively shut.

At least three cargo ships have come under direct attack from Iranian military forces, and there are growing fears that Iran has planted sea mines in the strait.

Facing imminent danger, shipping companies and oil tanker owners have opted not to transit the strait, and marine tracking systems show hundreds of tankers sitting idle just outside the waterway, with seemingly nowhere to go.

Oil prices have surged as a result, with U.S. crude topping $99 a barrel on Friday evening, up around 50% since the start of the war. The longer the conflict drags on, the greater the risk the disruption spreads beyond energy markets.

“A less well-recognized risk is the threat the conflict poses to the global food supply chain, which depends on exports coming through the region,” Joe Brusuelas, chief economist at RSM, wrote in a recent client note.

The Middle East plays an outsized role in fertilizer production, largely because its natural gas reserves are the primary input used to produce ammonia, a key building block for nitrogen fertilizers like urea.

Countries exposed to disruptions in the region because of the war — including Egypt, Iran, Qatar, Saudi Arabia and the United Arab Emirates — account for about 49% of global urea exports, and roughly 30% of ammonia exports, according to the American Farm Bureau Federation.

“Fertilizer markets are globally integrated, so supply disruptions in one region can influence prices and availability elsewhere,” wrote Faith Parum, a Farm Bureau economist.

That means any increases in cost or tightening of supplies overseas can quickly ripple through the global agricultural supply chain and drive up the cost of food.

For American farmers, the uncertainty is already hitting home.

John Boyd Jr., a fourth-generation farmer in Virginia who grows soybeans, corn and wheat, said his fertilizer supplier recently warned him that shipments may not arrive as expected.

“The dealers are telling me we can’t get the fertilizer,” Boyd told NBC News in an interview this week. “Due to the war and the bombing through that area, the fertilizer isn’t moving.”

Fertilizer is essential to food production, he said, and it must be applied before crops are planted.

“If I don’t apply fertilizer, that means I won’t have the yields to make my crop,” Boyd explained.

Going forward, he expects prices to rise as supplies tighten even more.

As of Mar. 10, ammonia prices in the Middle East were up 92% compared with a year earlier, while urea prices were up 70% over that same time period, Brusuelas pointed out in his note.

In the U.S., ammonia prices are currently 41% higher than they were last March, while urea prices have risen 21%.

Put simply: “Higher fertilizer costs will contribute to higher prices at U.S. supermarkets,"" he wrote.

Already, food prices have been rising. According to the latest consumer inflation data released earlier this week, grocery prices rose 0.4% from January to February and are now up 2.4% compared with a year ago. The cost of dining out rose 0.3% over the same period, and is up 3.9% from a year earlier.

Now, with planting season underway, any disruption to fertilizer supplies could put additional pressure on food prices in the months ahead.

The timing is critical for U.S. agriculture. This is when farmers purchase fertilizer, prepare fields and apply nutrients needed to grow crops like corn and wheat.

“With spring planting beginning around the U.S., it is critical to secure transit, along with the necessary risk-coverage insurance, for vessels carrying fertilizers through the Strait of Hormuz,” Parum wrote.

""If farmers are unable to obtain the remaining supplies in time, we could see reductions or shifts in planted acreage and lower yields, which affects our nation’s food security and the affordability of essential goods.”

On Friday, Agriculture Secretary Brooke Rollins said the Trump administration is “very close to having an announcement on some solutions” aimed at keeping fertilizer costs down for farmers. But she did not provide additional details.

Rollins said most farmers have already purchased fertilizer for the planting season, but conceded that roughly 25% have not, leaving them far more exposed to rising prices.

“Obviously, events around the world are impacting our farmers,” she said at a White House event.

But it’s not just fertilizer. Prices are also rising for diesel, which powers tractors, irrigation systems and fertilizer spreaders.

Boyd said those higher fuel costs are already starting to squeeze his operation, in addition to the fertilizer fears.

“I have a tractor that requires 100 gallons of diesel fuel to fill it up, and it costs me $469 just for a tank of diesel fuel,” he said. “That doesn’t last long.”",RSS,iran
2019,Multiple Republicans in Congress post openly anti-Muslim statements,67,1084,"Https, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms, Melanie Zanona, Scott Wong, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms Kyle-Stewart-Circle-Byline-Template.Jpg, Kyle Stewart, Melanie Zanona Is A Capitol Hill Correspondent For Nbc News., Scott Wong Is A Senior Congressional Reporter For Nbc News., Kyle Stewart Is A Producer, Off-Air Reporter Covering Congress For Nbc News",NBC News,US,Broadcast Network,2026-03-13,2026-03-14,https://www.nbcnews.com/politics/congress/multiple-house-republicans-post-openly-anti-muslim-statements-rcna263377,"WASHINGTON — Congressional Republicans have increasingly expressed anti-Muslim sentiment in the wake of the Iran war, with several far-right lawmakers posting Islamophobic statements on social media this week, following recent violent attacks on U.S. soil.

The social media posts have fueled bitter tensions inside Congress, with enraged Democrats vowing disciplinary action against their Republican colleagues while GOP leaders largely shrug aside the inflammatory rhetoric.

Rep. Randy Fine, R-Fla., who had already faced backlash for an anti-Muslim post last month, wrote on X Thursday: “We need more Islamophobia, not less. Fear of Islam is rational.”

Rep. Andy Ogles, R-Tenn., said in a series of posts on Thursday that no country is “freer and safer because Muslims moved there,” and he called “immigration” a “national security threat.” Earlier this week, he wrote that “Muslims don’t belong in American society.”

Also on Thursday, Rep. Brandon Gill, R-Texas, called for “No more Muslims immigrating to America.""

And Sen. Tommy Tuberville, R-Ala., shared a post featuring a side-by-side photo of the Sept. 11 terrorist attacks and New York City Mayor Zohran Mamdani, who is Muslim.

“The enemy is inside the gates,"" wrote Tuberville, who is running for governor of Alabama and has been posting the same line in reference to Mamdani and at least one other American Muslim politician on X since well before the war with Iran began.

The latest anti-Muslim statements come in the wake of the Trump administration's war with Iran and multiple recent violent attacks in the U.S., including a car-ramming attack on a Detroit-area synagogue and a deadly shooting at a Virginia college on Wednesday.

The Virginia gunman was previously convicted of supporting ISIS, according to court documents, and the incident is being investigated as an act of terrorism. Army Lt. Col. Brandon A. Shah, an ROTC instructor, was killed in the attack, Gov. Abigail Spanberger said. The synagogue attack is being investigated as a targeted act of violence against the Jewish community, and the Department of Homeland Security said the driver was a U.S. citizen originally from Lebanon.

Meanwhile, the improvised explosive devices thrown near Mamdani’s New York City residence during dueling protests last weekend are being investigated as part of an act of “ISIS-inspired"" terrorism, according to the city’s police commissioner.

President Donald Trump has blamed the recent attacks on the “genetics” of the suspects.

“They’re sick people, and a lot of them were let in here. They shouldn’t have been let in. Others are just bad. They go bad. Something wrong. There’s something wrong there. The genetics are not exactly— they’re not exactly your genetic,"" Trump said in an interview with Brian Kilmeade that aired Friday on Fox Radio.

At a Tuesday news conference during the House GOP’s retreat in Florida, Speaker Mike Johnson, R-La., was asked about the anti-Muslim rhetoric from some of his members, including Fine and Ogles.

Johnson said he has “spoken to those members and all members, as I always do, about our tone and our message.”

He said there’s “a lot of energy in the country, and a lot of popular sentiment that the demand to impose Sharia law in America is a serious problem.”

Johnson added that it was “different language than I would use. But I think ... that’s a serious issue.”

Sharia law stems from the Quran and the sayings of Muhammad; it has no standing over the Constitution or state or federal laws in the U.S. When a reporter followed up and asked Johnson who was imposing Sharia law in America, he did not answer and walked off the stage.

Johnson's office did not respond to a request for comment Friday on the latest anti-Muslim social media posts from his party members following Thursday's attacks.

A GOP political operative downplayed the tweets, saying the posts from a handful of members were not reflective of the broader 218-member House Republican Conference, nor the GOP voter base.

""The loudest and often most radical voices on both the Democrat and Republican side tend to draw the most attention, but they rarely reflect the typical views of the broader conference or the voters who make up each party’s base,"" said the GOP source, who requested anonymity to freely discuss the controversy. ""The center of gravity in American politics is much quieter than the debate you see online.""

Johnson and his leadership have shown no interest in punishing Fine, Ogles and others for their anti-Muslim comments, as Democrats have pushed for repercussions. It’s a break from 2019, when then-Minority Leader Kevin McCarthy, R-Calif., and his leadership team booted a conservative firebrand, then-Rep. Steve King, R-Iowa, off of all of his committees after he questioned why white supremacy and white nationalism were considered “offensive.”

The House GOP’s campaign arm also disavowed King and stopped supporting him. He was later defeated in a Republican primary.

Democrats are expressing outrage over the anti-Muslim rhetoric from their colleagues and are preparing potential retaliatory measures, though they are long shots without GOP support.

“Randy Fine’s vile racism should have already resulted in censure. I’ve asked before and I’m asking again: @SpeakerJohnson, will you reprimand Rep. Fine? Strip him of his committee assignments? Anything? Or does the Republican caucus condone racism?” Rep. Yassamin Ansari, D-Ariz., the first Iranian American Democrat elected to Congress, replied to Fine on X on Thursday night.

Fine responded that “Islam isn’t a race” and told Ansari to “get a brain.”

Rep. Shri Thanedar, D-Mich., has introduced a resolution to censure Ogles and kick him off the House Homeland Security Committee. It’s unclear if Thanedar will force a floor vote on the measure.

In response to the censure resolution from Thanedar, Ogles told NBC News: “Speaking truth and facts about Islam is protected speech.”

There are several Democratic lawmakers in Congress who are Muslim, including Minnesota Rep. Ilhan Omar, who has faced a high volume of racist attacks and violent threats since taking office. Most recently, she was attacked at a town hall in Minneapolis, though it’s unclear what was the suspect's motivation.

Jewish lawmakers have also experienced violent threats and antisemitism. On Thursday, Rep. Max Miller, R-Ohio, posted a voicemail he received in which the caller said Miller is a “Jewish piece of s---” and that he hopes an Arab “cuts off your f------ head.”

“Every day as a Jewish Member of Congress is another day of receiving these types of threats,” Miller wrote in a post sharing the voicemail. ""For those asking ‘Why is no one holding town halls?’...these are the people waiting for a planned event.""",RSS,iran
2020,Trump eases Russian oil sanctions as Iran war sends prices spiking,66,226,"Https, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms, Alexander Smith, Alexander Smith Is A Senior Reporter For Nbc News Digital Based In London.",NBC News,US,Broadcast Network,2026-03-13,2026-03-14,https://www.nbcnews.com/world/russia/trump-eases-russian-oil-sanctions-iran-war-prices-ukraine-europe-rcna263310,"The United States has temporarily lifted sanctions on Russian oil, a boost to the Kremlin as Washington tries to contain energy prices sent soaring by the American-Israeli assault on Iran.

President Vladimir Putin’s team welcomed the move to ease penalties that were imposed over Russia’s invasion of Ukraine, and pushed Friday for the U.S. to go further. The decision caused dismay in Europe, where officials feared it would give a timely boost to the Moscow war machine on their doorstep as attention shifts to the Middle East.

The announcement failed to immediately calm oil prices, which have spiraled since Tehran effectively closed the vital Strait of Hormuz oil chokepoint and began attacking energy facilities across neighboring Gulf countries.

The international benchmark of Brent crude rose again overnight, sitting just above $100 a barrel as of 6 a.m. ET. Markets worldwide slipped, with U.S. stock futures down following slumps across Asia and Europe.

Announcing the move Thursday evening, Treasury Secretary Scott Bessent said that until April 11 countries would be able to buy Russian oil that was already at sea.

He called it a “narrowly tailored, short-term measure” and claimed it would “not provide significant financial benefit to the Russian government.” (However, he later told NBC News’ British partner Sky News that it was “an inevitability” and “unfortunate” when asked if Moscow would gain from the decision.)",RSS,iran
2021,"In Gaza, Palestinians feel forgotten as Iran war captures attention and ceasefire progress slows",96,878,"Https, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms, Chantal Da Silva, Chantal Da Silva Reports On World News For Nbc News Digital, Is Based In London.",NBC News,US,Broadcast Network,2026-03-13,2026-03-14,https://www.nbcnews.com/world/middle-east/gaza-palestinians-iran-war-trump-ceasefire-israel-hamas-rcna262959,"Burning scraps of plastic and cardboard in a large tin can outside his family's tent in a southern Gaza graveyard, Raed Abu Ouda prepares a meal for his children, remembering a time when they didn't have to live this way.

""We used to live in palaces, but now we live in graves,"" Abu Ouda, 42, who said he was injured in February when a shell struck his home despite the ongoing ceasefire, told NBC News this week. His family's tent is one of several built in an area used as a cemetery outside the Jordanian field hospital in Khan Younis.

The graveyard, he said, was the best shelter his family could find, with thousands of Palestinians still blocked from returning to their homes, or at least what's left of them, because they sit behind the ""yellow line"" — a boundary delineating territory still occupied by Israeli forces, comprising roughly half of Gaza.

Raed Abu Ouda outside his family's tent, with his wife and daughter inside. NBC News

""We have become people living in unnatural conditions,"" said Abu Ouda, who lost his work as a farmer after the conflict in Gaza began. Describing the daily struggle to get food, water and the most basic supplies for survival in the Palestinian enclave, five months into the current ceasefire between Israel and Hamas, he questioned how he was supposed to support his family of seven, including his youngest child, 1-year-old Arwa.

""I can't even provide a single jerrycan of water for them,"" he said.

Hopes that the ceasefire, brokered in part by President Donald Trump, would advance — and that the process of rebuilding Gaza might begin after more than two years of war — swelled after Trump's son-in-law Jared Kushner unveiled plans for the enclave's future, marked by gleaming high-rise towers and beaches packed with tourists. Kushner had outlined a timetable of a few years for the reconstruction despite the ongoing strikes in Gaza, but large-scale work is yet to begin.

Now, a wider war consumes the region after the United States and Israel launched strikes on Iran last month, triggering retaliatory attacks from Tehran and its proxies. Palestinians in the battered enclave fear they have been forgotten, with progress on advancing the ceasefire deal between Israel and Hamas largely sidelined by the latest hostilities. Key obstacles include the future disarmament of Hamas and the withdrawal of Israeli troops from areas that are still occupied.

Doaa Basam. NBC News

""The war involving Iran has had a major impact on Gaza,"" Doaa Basam, a 26-year-old pharmacist displaced from Beit Hanoun in northern Gaza to Khan Younis, told NBC News on Wednesday.

Basam noted a continued ""shortage of many essential supplies,"" including adequate food and medicine.

The Kerem Shalom crossing is currently the only functioning route in and out of Gaza. Israel closed the Rafah crossing with Egypt ""until further notice"" as the Iran conflict broke out, citing security fears, just weeks after it was reopened under the ceasefire deal.

Meanwhile, fears have grown for future access to aid in the enclave after dozens of humanitarian organizations, including Oxfam and Médecins Sans Frontières, or Doctors Without Borders, were barred by Israel from operating in the Palestinian territories over their refusal to cooperate with new vetting rules that would have forced them to provide lists of their staff, as well as their personal information.

The Israeli government said the rules were implemented on security grounds, to rule out any links to terrorism among humanitarian workers.

Israel’s top court issued a temporary injunction to allow the organizations to continue most of their activities while it weighs a petition from 17 aid groups challenging the government ban, but a decision on the case has yet to be made.

Speaking at a news briefing Wednesday, U.N. spokesman Stéphane Dujarric said ""ongoing restrictions on aid operations"" were ""worsening an already critical humanitarian situation.""

Between Feb. 27 and March 5, just more than 3,400 pallets of aid administered by the U.N. and partners were offloaded at Gaza's crossings, according to an update published March 6 by the United Nations Office for the Coordination of Humanitarian Affairs. That works out to around 485 pallets per day, with around 70% of them containing food supplies, according to OCHA.

Palestinians wait to receive hot food distributed by a charity in Khan Younis, Gaza, on Monday. Abed Rahim Khatib / Anadolu via Getty Images

The figures are a significant decrease from the average over the period since the ceasefire came into effect, with an average of 2,240 pallets a day delivered across the period between Oct. 10 and March 5. Those figures only pertain to aid administered by the U.N. and its partners, however.

OCHA warned a week ago that, even before the crossing closures and challenges posed by the Iran conflict, additional food supplies were ""urgently needed to ensure that partners have sufficient stocks to maintain distributions,"" with its partners' operations covering ""only 50 percent of minimum caloric needs"" for 1.2 million of Gaza's 2 million residents.

OCHA also noted that medical evacuations out of Gaza were also on hold amid the Iran war, while only “a limited number of commercial supplies have been permitted to enter,” with delays causing fuel shortages, driving up prices and increasing reliance on humanitarian aid.",RSS,iran
2022,Why it's so hard to get oil through the Strait of Hormuz right now,66,800,"Https, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms, Alexander Smith, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms Mithil-Aggarwal.Jpg, Mithil Aggarwal, Alexander Smith Is A Senior Reporter For Nbc News Digital Based In London., Mithil Aggarwal Is A Hong Kong-Based Reporter Producer For Nbc News.",NBC News,US,Broadcast Network,2026-03-11,2026-03-14,https://www.nbcnews.com/world/iran/strait-of-hormuz-closure-shipping-oil-strikes-rcna262898,"Global oil prices have sharply risen, though they have fallen slightly from highs seen last week, threatening wider economic instability across the world. Trump has threatened to hit Iran “20 times harder” if it disrupts this vital artery in the world’s fuel supply.

Of the handful of tankers that have braved the crossing, around half belong to a so-called shadow fleet — meaning they are carrying sanctioned oil from Iran, Russia or Venezuela — according to Lloyd’s List Intelligence, another analytics firm based in London. These crossings include suspected “dark transits,” where ships switch off their tracking systems to effectively disappear, Lloyd’s said in an analysis on Monday.

On Wednesday, the United Kingdom Maritime Trade Organization, a monitoring service run by the British navy, reported that a “cargo vessel has been hit by an unknown projectile” 11 nautical miles north of Oman. That caused a fire and the crew was evacuating the ship, it said.

Smoke rising from the Thai bulk carrier Mayuree Naree near the Strait of Hormuz on Wednesday. Royal Thai Navy via AFP - Getty Images

Another bulk carrier 50 nautical miles northwest of Dubai was hit by a projectile, with the crew reported “safe and well,” and a container vessel, whose location was not given, was assessing damage after being struck, it said.

One of the ships struck was flying the Liberian flag, Iranian state media reported, and Thailand’s transport ministry said another was a Thai vessel.

In all, 13 ships have been hit in the strait since U.S. and Israeli strikes sparked the war Feb. 28, according to the UKMTO.

It’s not just missiles these ships have to worry about, but also the possibility that Iran deploys its fleet of mine-laying vessels to render the crossing impassable. “There remains no confirmed evidence of mine deployment or detonation in regional shipping lanes,” Britain’s Joint Maritime Information Center said Wednesday, though it said one attack showed evidence of a ""severe explosive event at or near the waterline.""

Though it’s unclear how many mines Iran has laid or has the capability of laying, the threat could see disruption, potentially lasting long after the conflict ends.

The threats to oil tankers are also an “ecological ticking time bomb,” according to Greenpeace Germany, which simulated a potential oil spill and found such an event could threaten sensitive ecosystems including coral reefs, mangrove forests and seagrass meadows.

Even in peacetime, the world of shipping is a bureaucratic labyrinth of captains, owners, brokers and insurers. When war breaks out, many insurers trigger what are known as standard war-risk cancellation clauses, according to Jungman at Vortexa.

These clauses allow insurers to “withdraw coverage on short notice when an area becomes an active conflict zone,” she said. And “without insurance, most commercial ships simply cannot sail.”

Some companies do provide insurance, “but the pricing and conditions can be extremely restrictive,” Jungman added. In some cases, premiums have risen by as much as 1,000%, according to Reuters.

For any voyage, the ship’s owners have to green-light the route first. They insure the ship — typically at 0.25% of the value of the vessel plus its cargo. The war has seen premiums spike to 3% of the ship’s total value, which can range between $200 million and $300 million, according to the American brokerage Jefferies.

One firm providing cover is the Illinois-based brokerage Gallagher, which says it is still offering cover through the marketplace giant Lloyd’s of London.

Gallagher is “very much open for business,” its marine divisional director, Angus Blayney, said in an emailed statement. “Given the challenging maritime security environment, rates have increased from levels that owners and charterers will be used to,” Blayney added, without providing specific figures.

“Some owners are willing to risk it and they are getting paid huge amounts of money,” said Tim Huxley, director of Mandarin Shipping in Hong Kong. “If you’re willing to do it, you might get paid half a million of U.S. dollars a day. There’s obviously a profound risk in it.”

A naval vessel sailing in the Strait of Hormuz on March 1. Sahar Al Attar / AFP - Getty Images

Both the U.S. and France have suggested they could escort vessels. But doing that for “every commercial vessel moving through the strait would require a very large and sustained naval presence,” Jungman said, and they would not be immune to mines and drones.

Even if shipowners green-light the route and manage to get insurance, the crews “have the right to refuse to go into a war zone,” said Capt. Pradeep Chawla, a veteran mariner and an expert in maritime safety based in Hong Kong.

“Seafarers have been caught in the middle” of this conflict, Chawla said. “It’s in times like these that one realizes, without seafarers, countries would not get their oil or food.”",RSS,hormuz
